,ID,Prompt,Representations,Auto_assessment,Task,Task_specific_label,img2img_instructions,Linked_prompts
590,591,a hat wearing a dog,"hat, dog",False,Unusual arrangements,wearing,,"1905,1748"
591,592,a car driving a cat,"car, cat",False,Unusual arrangements,driving,,"1728,1749"
592,593,a ship jumping on a parrot,"ship, parrot",False,Unusual arrangements,jumping,,"2013,1914"
593,594,a bicycle riding a bird,"bicycle, bird",False,Unusual arrangements,riding,,"1782,1739"
594,595,a dollar bill holding a penguin,"dollar bill, penguin",False,Unusual arrangements,holding,,"2014,1919"
595,596,a whisk using a monkey to cook,"whisk, monkey",False,Unusual arrangements,using,,"2015,1986"
596,597,a pizza chasing a trash can,"pizza, trash can",False,Unusual arrangements,chasing,,"1832,2016"
597,598,a flashlight drinking a beer,"flashlight, beer",False,Unusual arrangements,drinking,,"1714,2017"
598,599,a donut holding a frog,"donut, frog",False,Unusual arrangements,holding,,"1829,1991"
599,600,a chicken dancing on a lion,"chicken, lion",False,Unusual arrangements,dancing,,"1940,1975"
600,601,a sheep stealing a cake,"sheep, cake",False,Unusual arrangements,stealing,,"1726,1794"
601,602,A horse with a yellow saddle,horse,False,Compositional characteristics,yellow saddle,,1950
602,603,A spider with white legs,spider,False,Compositional characteristics,white legs,,1745
603,604,A clock with golden hands,clock,False,Compositional characteristics,golden hands,,1777
604,605,A chair with a wooden seat,chair,False,Compositional characteristics,wooden seat,,1796
605,606,A cup with a blue design,cup,False,Compositional characteristics,blue design,,1787
606,607,A car with a black spoiler,car,False,Compositional characteristics,black spoiler,,1728
607,608,A car with golden wheels,car,False,Compositional characteristics,golden wheels,,1728
608,609,A butterfly with red wings,butterfly,False,Compositional characteristics,red wings,,1761
609,610,A dragon with yellow tail,dragon,False,Compositional characteristics,yellow tail,,1764
610,611,A cat with yellow eyes,cat,False,Compositional characteristics,yellow eyes,,1749
611,612,A bird with a blue tail,bird,False,Compositional characteristics,blue tail,,1739
612,613,A flower with a green petals,flower,False,Compositional characteristics,green petals,,1888
613,614,A fish with black fins,fish,False,Compositional characteristics,black fins,,1723
614,615,A table with a metal legs,table,False,Compositional characteristics,metal legs,,1854
615,616,A puppy with white paws,puppy,False,Compositional characteristics,white paws,,2018
616,617,A tree with red fruit,tree,False,Compositional characteristics,red fruit,,1737
617,618,A bear with a white belly,bear,False,Compositional characteristics,white belly,,1793
618,619,A fox with white fur,fox,False,Compositional characteristics,white fur,,1939
619,620,A pen with transparent barrel,pen,False,Compositional characteristics,transparent barrel,,1902
620,621,A lizard with blue scales,lizard,False,Compositional characteristics,blue scales,,2019
621,622,A candle with a pink flame,candle,False,Compositional characteristics,pink flame,,1779
622,623,A tree with blue leaves,tree,False,Compositional characteristics,blue leaves,,1737
623,624,A book with a newspaper cover,book,False,Compositional characteristics,newspaper cover,,1826
624,625,A cow with a yellow spotted coat,cow,False,Compositional characteristics,yellow spotted coat,,1791
625,626,A bird with a curved beak,bird,False,Compositional characteristics,curved beak,,1739
626,627,A dragon with shiny claws,dragon,False,Compositional characteristics,shiny claws,,1764
627,628,A goat with dirty fur,goat,False,Compositional characteristics,dirty fur,,1897
628,629,A cup with a green handle,cup,False,Compositional characteristics,green handle,,1787
629,630,A bird with a bue head,bird,False,Compositional characteristics,blue head,,1739
630,631,A cat with blue eyes,cat,False,Compositional characteristics,blue eyes,,1749
631,632,A dragon with a black tail,dragon,False,Compositional characteristics,black tail,,1764
632,633,A clock with a wooden frame,clock,False,Compositional characteristics,wooden frame,,1777
633,634,A chair with a velvet seat,chair,False,Compositional characteristics,velvet seat,,1796
634,635,A beaver with white fur,beaver,False,Compositional characteristics,white fur,,1901
635,636,A horse with a pink mane,horse,False,Compositional characteristics,pink mane,,1950
636,637,A mountain with a snowy peak,mountain,False,Compositional characteristics,snowy peak,,1770
637,638,A rabbit with long ears,rabbit,False,Compositional characteristics,long ears,,1954
638,639,A cow with short legs,cow,False,Compositional characteristics,short legs,,1791
639,640,A car with a shiny finish,car,False,Compositional characteristics,shiny finish,,1728
640,641,A street of food shops,street,False,Compositional characteristics,food shops,,1853
641,642,A table with a polished surface,table,False,Compositional characteristics,polished surface,,1854
642,643,A mouse with a red ear,mouse,False,Compositional characteristics,red ear,,1760
643,644,A sofa with white cushions,sofa,False,Compositional characteristics,white cushions,,2020
644,645,A horse with short legs,horse,False,Compositional characteristics,short legs,,1950
645,646,A butterfly with an orange body,butterfly,False,Compositional characteristics,orange  body,,1761
646,647,A mountain with a pine forest,mountain,False,Compositional characteristics,pine forest,,1770
647,648,A tree with white branches,tree,False,Compositional characteristics,white branches,,1737
648,649,A squirrel with a pink tail,squirrel,False,Compositional characteristics,pink tail,,1932
649,650,A bear with a spotted fur,bear,False,Compositional characteristics,spotted fur,,1793
650,651,A fish with small spots,fish,False,Compositional characteristics,small spots,,1723
651,652,A squirrel with a bushy tail,squirrel,False,Compositional characteristics,bushy tail,,1932
652,653,A rabbit with a black spot,rabbit,False,Compositional characteristics,black spot,,1954
653,654,A bird with a grey tail,bird,False,Compositional characteristics,grey tail,,1739
654,655,A shoe with a purple sole,shoe,False,Compositional characteristics,purple sole,,1893
655,656,A goat with a blue eyes,goat,False,Compositional characteristics,blue eyes,,1897
656,657,A flower with an orange stigma,flower,False,Compositional characteristics,orange stigma,,1888
657,658,A fish with shiny scales,fish,False,Compositional characteristics,shiny scales,,1723
658,659,A moose with small antlers,moose,False,Compositional characteristics,small antlers,,1921
659,660,A book with a worn cover,book,False,Compositional characteristics,worn cover,,1826
660,661,A room with a large window,room,False,Compositional characteristics,large window,,1850
661,662,A laptop with a green cover,laptop,False,Compositional characteristics,green cover,,1837
662,663,A lizard with blue scales,lizard,False,Compositional characteristics,blue scales,,2019
663,664,A dragon with green flames,dragon,False,Compositional characteristics,green flames,,1764
664,665,A bird with white wings,bird,False,Compositional characteristics,white wings,,1739
665,666,A pencil with a bright orange lead,pencil,False,Compositional characteristics,bright orange lead,,1774
666,667,A cat with an orange collar,cat,False,Compositional characteristics,orange collar,,1749
667,668,A tree with a dense canopy,tree,False,Compositional characteristics,dense canopy,,1737
668,669,A bird with long talons,bird,False,Compositional characteristics,long talons,,1739
669,670,A ferret with a white face,ferret,False,Compositional characteristics,white face,,1913
670,671,A bush with orange fruit,bush,False,Compositional characteristics,orange fruit,,2021
671,672,A plate with a golden rim,plate,False,Compositional characteristics,golden rim,,1878
672,673,A dragon with an orange face,dragon,False,Compositional characteristics,orange face,,1764
673,674,A bird with a pink beak,bird,False,Compositional characteristics,pink beak,,1739
674,675,A snake with white scales,snake,False,Compositional characteristics,white scales,,1741
675,676,A motorcycle with a blue seat,motorcycle,False,Compositional characteristics,blue seat,,1813
676,677,A lizard with black legs,lizard,False,Compositional characteristics,black legs,,2019
677,678,A butterfly with pink wings,butterfly,False,Compositional characteristics,pink wings,,1761
678,679,A rabbit with a hairless tail,rabbit,False,Compositional characteristics,hairless tail,,1954
679,680,A door with a metal knocker,door,False,Compositional characteristics,metal knocker,,1865
680,681,A goat with brown horns,goat,False,Compositional characteristics,brown horns,,1897
681,682,A squirrel with green fur,squirrel,False,Compositional characteristics,green fur,,1932
682,683,A plant with orange flowers,plant,False,Compositional characteristics,orange flowers,,2022
683,684,A crocodile with an open mouth,crocodile,False,Compositional characteristics,open mouth,,1952
684,685,A bed with golden headboard,bed,False,Compositional characteristics,golden headboard,,1840
685,686,A bicycle with glittering handlebars,bicycle,False,Compositional characteristics,glittering handlebars,,1782
686,687,A dog with a curled tail,dog,False,Compositional characteristics,curled tail,,1748
687,688,A pillow with a leather cover,pillow,False,Compositional characteristics,leather cover,,1718
688,689,A lamp with a glass shade,lamp,False,Compositional characteristics,glass shade,,1713
689,690,A pirate with a metal claw,pirate,False,Compositional characteristics,metal claw,,2023
690,691,A cage with thin bars,cage,False,Compositional characteristics,thin bars,,2024
691,692,A girl with purple eyes,girl,False,Compositional characteristics,purple eyes,,2025
692,693,A blanket with a damask pattern,blanket,False,Compositional characteristics,damask pattern,,1704
693,694,A mountain with a jagged peak,mountain,False,Compositional characteristics,jagged peak,,1770
694,695,A boy with long hair,boy,False,Compositional characteristics,long hair,,1992
695,696,A man with a red nose,man,False,Compositional characteristics,red nose,,1994
696,697,An officer in a blue uniform,officer,False,Compositional characteristics,blue uniform,,2026
697,698,A wall with lettering graffiti,wall,False,Compositional characteristics,lettering graffiti,,2027
698,699,A tree with twisted branches,tree,False,Compositional characteristics,twisted branches,,1737
699,700,A cake with green icing,cake,False,Compositional characteristics,green icing,,1794
700,701,A cookie with colourful chips,cookie,False,Compositional characteristics,colourful chips,,2028
701,702,a rabbit with the antlers of a moose,"rabbit, moose",False,Chimeras,,,"1954,1921"
702,703,a horse with the tail of a lion,"horse, lion",False,Chimeras,,,"1950,1975"
703,704,a skunk with the wings of a dragon,"skunk, dragon",False,Chimeras,,,"1903,1764"
704,705,a wolf with the tusks of a walrus,wolf walrus,False,Chimeras,,,2029
705,706,a coyote with the fur of a polar bear,"coyote, polar bear",False,Chimeras,,,"2030,2031"
706,707,a horse with the scales of a dragon,"horse, dragon",False,Chimeras,,,"1950,1764"
707,708,a deer with the wings of an eagle,"deer, eagle",False,Chimeras,,,"1915,1930"
708,709,a gorilla with the antlers of a deer,"gorilla, deer",False,Chimeras,,,"1758,1915"
709,710,a horse with the fur of a tiger,"horse, tiger",False,Chimeras,,,"1950,1979"
710,711,a raccoon with the wings of a falcon,"raccoon, falcon",False,Chimeras,,,"1928,1923"
711,712,a elephant with the wings of an eagle,"elephant, eagle",False,Chimeras,,,"1740,1930"
712,713,a skunk with the tail of a beaver,"skunk, beaver",False,Chimeras,,,"1903,1901"
713,714,a kangaroo with the horns of a ram ,"kangaroo, ram",False,Chimeras,,,"1936,2032"
714,715,a snake with the fur of a fox,"snake, fox",False,Chimeras,,,"1741,1939"
715,716,a bear with the tail of a squirrel,"bear, squirrel",False,Chimeras,,,"1793,1932"
716,717,a kangaroo with the wings of a falcon,"kangaroo, falcon",False,Chimeras,,,"1936,1923"
717,718,a moose with the antlers of a stag,"moose, bear, stag",False,Chimeras,,,"1921,1793,2033"
718,719,a coyote with the fur of a polar bear,"coyote, polar bear",False,Chimeras,,,"2030,2031"
719,720,a coyote with the tusks of a walrus,"coyote, walrus",False,Chimeras,,,"2030,2034"
720,721,an opossum with the antlers of a deer,"opossum, deer",False,Chimeras,,,"2035,1915"
721,722,a leopard with the wings of an eagle,"leopard, eagle",False,Chimeras,,,"2036,1930"
722,723,a hippopotamus with the wings of a hawk,"hippopotamus, hawk",False,Chimeras,,,"2037,1943"
723,724,a horse with the tail of a fish,"horse, fish",False,Chimeras,,,"1950,1723"
724,725,a beaver with the tail of a crocodile ,"beaver, crocodile",False,Chimeras,,,"1901,1952"
725,726,a moose with the tusks of a walrus,"moose, walrus",False,Chimeras,,,"1921,2034"
726,727,a coyote with the feathers of a falcon,"coyote, falcon",False,Chimeras,,,"2030,1923"
727,728,a raccoon with the fur of a lion,"raccoon, lion",False,Chimeras,,,"1928,1975"
728,729,a rabbit with the antlers of a moose,"rabbit, moose",False,Chimeras,,,"1954,1921"
729,730,a rhinoceros with the wings of a pegasus,"rhinoceros, pegasus",False,Chimeras,,,"2038,2039"
730,731,a rabbit with the fur of a tiger,"rabbit, tiger",False,Chimeras,,,"1954,1979"
731,732,a hyena with the head of a crocodile,"hyena, crocodile",False,Chimeras,,,"2040,1952"
732,733,a wolf with the fur of zebra,"wolf, zebra",False,Chimeras,,,"1926,1806"
733,734,a zebra with the mane of a lion,"zebra, lion",False,Chimeras,,,"1806,1975"
734,735,a chimpanzee with the mane of a lion,"chimpanzee, lion",False,Chimeras,,,"2041,1975"
735,736,a dolphin with the fur of a polar bear,"dolphin, polar bear",False,Chimeras,,,"1955,2031"
736,737,an opossum with the tail of a fox,"opossum, fox",False,Chimeras,,,"2035,1939"
737,738,a snake with the wings of a bat,"snake, bat",False,Chimeras,,,"1741,2042"
738,739,a zebra with the wings of a hawk,"zebra, hawk",False,Chimeras,,,"1806,1943"
739,740,a fox with the tail of a peacock,"fox, peacock",False,Chimeras,,,"1939,1937"
740,741,a peacock the antlers of a moose,"peacock, moose",False,Chimeras,,,"1937,1921"
741,742,a fox with the fur of a giraffe,"fox, giraffe",False,Chimeras,,,"1939,1767"
742,743,a cat with the antlers of a deer,"cat, deer",False,Chimeras,,,"1749,1915"
743,744,a kangaroo with the wings of a hawk,"kangaroo, hawk",False,Chimeras,,,"1936,1943"
744,745,a moose with the fur of a leopard,"moose, leopard",False,Chimeras,,,"1921,2036"
745,746,a monkey with the tail of a scorpion,"monkey, scorpion",False,Chimeras,,,"1986,2043"
746,747,a skunk with the horns of a ram,"skunk, ram",False,Chimeras,,,"1903,2032"
747,748,a wolf with the tail of a fox,"wolf, fox",False,Chimeras,,,"1926,1939"
748,749,a bear with the wings of an eagle,"bear, eagle",False,Chimeras,,,"1793,1930"
749,750,a fox with the wings of a bat,"fox, bat",False,Chimeras,,,"1939,2042"
750,751,a chimpanzee with the horns of a goat,"chimpanzee, goat",False,Chimeras,,,"2041,1897"
751,752,a wolf with the mane of a lion and the tail of a fox,"wolf, lion, fox",False,Chimeras,,,"1926,1975,1939"
752,753,an elephant with the horns of a rhinoceros and the tail of a peacock,"elephant, rhinoceros, peacock",False,Chimeras,,,"1740,2038,1937"
753,754,a bear with the wings of an eagle and the fur of a tiger,"bear, eagle, tiger",False,Chimeras,,,"1793,1930,1979"
754,755,a deer with the horns of a ram and the claws of a bird of prey,"deer, ram, bird of prey",False,Chimeras,,,"1915,2032,2044"
755,756,a rabbit with the antlers of a moose and the fur of a giraffe,"rabbit, moose, giraffe",False,Chimeras,,,"1954,1921,1767"
756,757,a raccoon with the wings of a falcon and the tail of a lion,"raccoon, falcon, lion",False,Chimeras,,,"1928,1923,1975"
757,758,a tiger with the fur of a bear and the tusks of a walrus,"tiger, bear, walrus",False,Chimeras,,,"1979,1793,2034"
758,759,a squirrel with the scales of a fish and the tail of a monkey,"squirrel, fish, monkey",False,Chimeras,,,"1932,1723,1986"
759,760,a fox with the horns of a deer and the wings of a hawk,"fox, deer, hawk",False,Chimeras,,,"1939,1915,1943"
760,761,a giraffe with the head of a tiger and the claws of a bear,"giraffe, tiger, bear",False,Chimeras,,,"1767,1979,1793"
761,762,a horse with the scales of a fish and the wings of a dragon,"horse, fish, dragon",False,Chimeras,,,"1950,1723,1764"
762,763,a skunk with the wings of a dragon and the fur of a bear,"skunk, dragon, bear",False,Chimeras,,,"1903,1764,1793"
763,764,a beaver with the tail of a crocodile and the head of a bird of prey,"beaver, crocodile, bird of prey",False,Chimeras,,,"1901,1952,2044"
764,765,a monkey with the tail of a scorpion and the fur of a fox,"monkey, scorpion, fox",False,Chimeras,,,"1986,2043,1939"
765,766,a rhinoceros with the fur of a lion and the antlers of a deer,"rhinoceros, lion, deer",False,Chimeras,,,"2038,1975,1915"
766,767,a dolphin with the fur of a polar bear and the tail of a fish,"dolphin, polar bear, fish",False,Chimeras,,,"1955,2031,1723"
767,768,a squirrel with the scales of a fish and the wings of a bat,"squirrel, fish, bat",False,Chimeras,,,"1932,1723,2042"
768,769,an opossum with the antlers of a deer and the fur of a leopard,"opossum, deer, leopard",False,Chimeras,,,"2035,1915,2036"
769,770,a kangaroo with the horns of a ram and the wings of a falcon,"kangaroo, ram, falcon",False,Chimeras,,,"1936,2032,1923"
770,771,a deer with the horns of a ram and the tail of a lion,"deer, ram, lion",False,Chimeras,,,"1915,2032,1975"
771,772,a snake with the wings of a bat and the fur of a lion,"snake, bat, lion",False,Chimeras,,,"1741,2042,1975"
772,773,a wolf with the horns of a deer and the wings of a bat,"wolf, deer, bat",False,Chimeras,,,"1926,1915,2042"
773,774,a hamster with the fur of a lion and the claws of a bird of prey,"hamster, lion, bird of prey",False,Chimeras,,,"1984,1975,2044"
774,775,a squirrel with the scales of a fish and the horns of a goat,"squirrel, fish, goat",False,Chimeras,,,"1932,1723,1897"
775,776,a deer with the horns of a ram and the fur of a lion,"deer, ram, lion",False,Chimeras,,,"1915,2032,1975"
776,777,a bear with the body of a snake and the head of a crocodile,"bear, snake, crocodile",False,Chimeras,,,"1793,1741,1952"
777,778,a bear with the wings of an eagle and the tail of a dragon,"bear, eagle, dragon",False,Chimeras,,,"1793,1930,1764"
778,779,a hamster with the fur of a lion and the wings of a bat,"hamster, lion, bat",False,Chimeras,,,"1984,1975,2042"
779,780,a cow with the wings of a bird and the tail of a scorpion,"cow, bird, scorpion",False,Chimeras,,,"1791,1739,2043"
780,781,a dolphin with the fur of a bear and the wings of a seagull,"dolphin, bear, seagull",False,Chimeras,,,"1955,1793,1907"
781,782,a dolphin with the legs of a deer and the wings of a seagull,"dolphin, deer, seagull",False,Chimeras,,,"1955,1915,1907"
782,783,a squirrel with the scales of a fish and the wings of a dragon,"squirrel, fish, dragon",False,Chimeras,,,"1932,1723,1764"
783,784,a wolf with the fur of a polar bear and the wings of a seagull,"wolf, polar bear, seagull",False,Chimeras,,,"1926,2031,1907"
784,785,a koala with the fur of a sheep and the tail of a beaver,"koala, sheep, beaver",False,Chimeras,,,"2045,1726,1901"
785,786,a monkey with the tail of a scorpion and the wings of a bat,"monkey, scorpion, bat",False,Chimeras,,,"1986,2043,2042"
786,787,a polar bear with the horns of a ram and the fins of a shark,"polar bear, ram, shark",False,Chimeras,,,"2031,2032,2046"
787,788,a hamster with the fur of a tiger and the tail of a fox,"hamster, tiger, fox",False,Chimeras,,,"1984,1979,1939"
788,789,a beaver with the tail of a crocodile and the fur of a polar bear,"beaver, crocodile, polar bear",False,Chimeras,,,"1901,1952,2031"
789,790,a fox with the wings of a bat and the tail of a lion,"fox, bat, lion",False,Chimeras,,,"1939,2042,1975"
790,791,a fox with the wings of a bat and the horns of a ram,"fox, bat, ram",False,Chimeras,,,"1939,2042,2032"
791,792,a zebra with the mane of a lion and the wings of a bat,"zebra, lion, bat",False,Chimeras,,,"1806,1975,2042"
792,793,a snake with the wings of a bat and the head of a crocodile,"snake, bat, crocodile",False,Chimeras,,,"1741,2042,1952"
793,794,a squirrel with the scales of a fish and the fur of a polar bear,"squirrel, fish, polar bear",False,Chimeras,,,"1932,1723,2031"
794,795,a monkey with the tail of a scorpion and the horns of a ram,"monkey, scorpion, ram",False,Chimeras,,,"1986,2043,2032"
795,796,a hippopotamus with the fur of a lion and the tusks of a boar,"hippopotamus, lion, boar",False,Chimeras,,,"2037,1975,2047"
796,797,a kangaroo with the horns of a ram and the fur of polar bear,"kangaroo, ram, polar bear",False,Chimeras,,,"1936,2032,2031"
797,798,a zebra with the mane of a lion and the tail of a horse,"zebra, lion, horse",False,Chimeras,,,"1806,1975,1950"
798,799,a tiger with the antlers of a deer and the claws of a bird of prey,"tiger, deer, bird of prey",False,Chimeras,,,"1979,1915,2044"
799,800,a raccoon with the wings of a bat and the claws of a bird of prey,"raccoon, bat, bird of prey",False,Chimeras,,,"1928,2042,2044"
800,801,a moose with the fur of a bear and the wings of a bat,"moose, bear, bat",False,Chimeras,,,"1921,1793,2042"
801,802,a bear with the wings of an eagle and the fur of a zebra,"bear, eagle, zebra",False,Chimeras,,,"1793,1930,1806"
802,803,two chairs,chair,True,Counting,2,,1796
803,804,two boats,boat,True,Counting,2,,1716
804,805,two cars,car,True,Counting,2,,1728
805,806,two busses,bus,True,Counting,2,,1785
806,807,two vases,vase,True,Counting,2,,1845
807,808,two hats,hat,True,Counting,2,,1905
808,809,two beds,bed,True,Counting,2,,1840
809,810,two cats,cat,True,Counting,2,,1749
810,811,two knives,knife,True,Counting,2,,1738
811,812,three bottles,bottle,True,Counting,3,,1836
812,813,three bicycles,bicycle,True,Counting,3,,1782
813,814,three snowboards,snowboard,True,Counting,3,,1817
814,815,three remotes,remote,True,Counting,3,,1816
815,816,three tvs,tv,True,Counting,3,,1949
816,817,three carrots,carrot,True,Counting,3,,1808
817,818,three spoons,spoon,True,Counting,3,,1763
818,819,three trains,train,True,Counting,3,,1814
819,820,three pizzas,pizza,True,Counting,3,,1832
820,821,four ovens,oven,True,Counting,4,,2048
821,822,four bananas,banana,True,Counting,4,,1765
822,823,four giraffes,giraffe,True,Counting,4,,1767
823,824,four windows,window,True,Counting,4,,1881
824,825,four bears,bear,True,Counting,4,,1793
825,826,four doors,door,True,Counting,4,,1865
826,827,four sinks,sink,True,Counting,4,,1807
827,828,four remotes,remote,True,Counting,4,,1816
828,829,four potted plants,potted plant,True,Counting,4,,1833
829,830,five couches,couch,True,Counting,5,,1815
830,831,five frisbees,frisbee,True,Counting,5,,1828
831,832,five zebras,zebra,True,Counting,5,,1806
832,833,five kites,kite,True,Counting,5,,1798
833,834,five fire hydrants,fire hydrant,True,Counting,5,,1825
834,835,five pizzas,pizza,True,Counting,5,,1832
835,836,five desks,desk,True,Counting,5,,1757
836,837,five sinks,sink,True,Counting,5,,1807
837,838,five microwaves,microwave,True,Counting,5,,1812
838,839,six cell phones,cell phone,True,Counting,6,,1800
839,840,six ties,tie,True,Counting,6,,1835
840,841,six doors,door,True,Counting,6,,1865
841,842,six vases,vase,True,Counting,6,,1845
842,843,six benches,bench,True,Counting,6,,1795
843,844,six chairs,chair,True,Counting,6,,1796
844,845,six forks,fork,True,Counting,6,,1771
845,846,six frisbees,frisbee,True,Counting,6,,1828
846,847,six stop signs,stop sign,True,Counting,6,,1810
847,848,seven bananas,banana,True,Counting,7,,1765
848,849,seven potted plants,potted plant,True,Counting,7,,1833
849,850,seven sports balls,sports ball,True,Counting,7,,1824
850,851,seven forks,fork,True,Counting,7,,1771
851,852,seven trucks,truck,True,Counting,7,,1820
852,853,seven bowls,bowl,True,Counting,7,,1805
853,854,seven chairs,chair,True,Counting,7,,1796
854,855,seven airplanes,airplane,True,Counting,7,,1799
855,856,seven bottles,bottle,True,Counting,7,,1836
856,857,eight cups,cup,True,Counting,8,,1787
857,858,eight elephants,elephant,True,Counting,8,,1740
858,859,eight people,person,True,Counting,8,,1948
859,860,eight baseball bats,baseball bat,True,Counting,8,,1951
860,861,eight cakes,cake,True,Counting,8,,1794
861,862,eight fire hydrants,fire hydrant,True,Counting,8,,1825
862,863,eight cell phones,cell phone,True,Counting,8,,1800
863,864,eight ovens,oven,True,Counting,8,,2048
864,865,eight spoons,spoon,True,Counting,8,,1763
865,866,nine elephants,elephant,True,Counting,9,,1740
866,867,nine laptops,laptop,True,Counting,9,,1837
867,868,nine umbrellas,umbrella,True,Counting,9,,1809
868,869,nine busses,bus,True,Counting,9,,1785
869,870,nine keyboards,keyboard,True,Counting,9,,1797
870,871,nine desks,desk,True,Counting,9,,1757
871,872,nine cats,cat,True,Counting,9,,1749
872,873,nine oranges,orange,True,Counting,9,,1947
873,874,nine bears,bear,True,Counting,9,,1793
874,875,ten mice,mouse,True,Counting,10,,1760
875,876,ten ties,tie,True,Counting,10,,1835
876,877,ten remotes,remote,True,Counting,10,,1816
877,878,ten donuts,donut,True,Counting,10,,1829
878,879,ten hair driers,hair drier,True,Counting,10,,1792
879,880,ten knives,knife,True,Counting,10,,1738
880,881,ten apples,apple,True,Counting,10,,1727
881,882,ten stop signs,stop sign,True,Counting,10,,1810
882,883,ten trains,train,True,Counting,10,,1814
883,884,eleven baseball bats,baseball bat,True,Counting,11,,1951
884,885,eleven chairs,chair,True,Counting,11,,1796
885,886,eleven books,book,True,Counting,11,,1826
886,887,eleven cell phones,cell phone,True,Counting,11,,1800
887,888,eleven hot dogs,hot dog,True,Counting,11,,1818
888,889,eleven bananas,banana,True,Counting,11,,1765
889,890,eleven shoes,shoe,True,Counting,11,,1893
890,891,eleven spoons,spoon,True,Counting,11,,1763
891,892,eleven carrots,carrot,True,Counting,11,,1808
892,893,twelve busses,bus,True,Counting,12,,1785
893,894,twelve toothbrushes,toothbrush,True,Counting,12,,1715
894,895,twelve bananas,banana,True,Counting,12,,1765
895,896,twelve sheep,sheep,True,Counting,12,,1726
896,897,twelve microwaves,microwave,True,Counting,12,,1812
897,898,twelve chairs,chair,True,Counting,12,,1796
898,899,twelve skateboards,skateboard,True,Counting,12,,1801
899,900,twelve wine glasses,wine glass,True,Counting,12,,1834
900,901,twelve birds,bird,True,Counting,12,,1739
901,902,two books,book,True,Counting,2,,1826
902,903,"A billboard advertising ""Explore the Great Barrier Reef""",billboard,False,Text rendering,Explore the Great Barrier Reef,,2049
903,904,"A menu at a restaurant that has the dish ""Beef Wellington"" listed",menu,False,Text rendering,Beef Wellington,,2050
904,905,"A newspaper with the headline ""First woman elected President"" written on it",newspaper,False,Text rendering,First woman elected President,,2051
905,906,"A map with the legend ""North, South, East, West"" written on it",map,False,Text rendering,"North, South, East, West",,2052
906,907,"A menu at a restaurant that has the dish ""Sushi"" listed",menu,False,Text rendering,Sushi,,2050
907,908,"A train with the destination ""Grand Central Station"" written on the front",train,False,Text rendering,Grand Central Station,,1814
908,909,"A book with the title ""Moby-Dick"" written on the cover",book,False,Text rendering,Moby-Dick,,1826
909,910,"A menu at a restaurant that has the dish ""Spaghetti Carbonara"" listed",menu,False,Text rendering,Spaghetti Carbonara,,2050
910,911,"A laptop with a sticker that says ""Microsoft Windows 10""",laptop,False,Text rendering,Microsoft Windows 10,,1837
911,912,"A plane with the destination ""London Heathrow Airport"" written on the front",plane,False,Text rendering,London Heathrow Airport,,2005
912,913,"A store window with the words ""Sale - 50% off"" written on it",store window,False,Text rendering,Sale - 50% off,,2053
913,914,"A billboard advertising ""Visit the Grand Canyon""",billboard,False,Text rendering,Visit the Grand Canyon,,2049
914,915,"A poster with the slogan ""Recycle Now"" written on it",poster,False,Text rendering,Recycle Now,,2054
915,916,"A label on a jar of honey that says ""Wildflower Honey"" written on it",jar,False,Text rendering,Wildflower Honey,,1712
916,917,"A billboard advertising ""Visit the Taj Mahal""",billboard,False,Text rendering,Visit the Taj Mahal,,2049
917,918,"A receipt from a gas station that says ""Shell"" written on it",receipt,False,Text rendering,Shell,,2055
918,919,"A map with the legend ""Mountains, Rivers, Cities"" written on it",map,False,Text rendering,"Mountains, Rivers, Cities",,2052
919,920,"A business card with the name ""Jane Smith"" and the title ""Marketing Manager"" written on it",business card,False,Text rendering,"Jane Smith, Marketing Manager",,2056
920,921,"A book with the title ""One Hundred Years of Solitude"" written on the cover",book,False,Text rendering,One Hundred Years of Solitude,,1826
921,922,"A store window with the words ""Winter Clearance"" written on it",store window,False,Text rendering,Winter Clearance,,2053
922,923,"A t-shirt with the band name ""Grateful Dead"" written on it",t-shirt,False,Text rendering,Grateful Dead,,1756
923,924,"A notebook with the words ""Memories"" written on the front cover",notebook,False,Text rendering,Memories,,2057
924,925,"A book with the title ""The Lord of the Rings"" written on the cover",book,False,Text rendering,The Lord of the Rings,,1826
925,926,"A poster with the slogan ""Stop Global Warming"" written on it",poster,False,Text rendering,Stop Global Warming,,2054
926,927,"A laptop with a sticker that says ""Dell"" written on it",laptop,False,Text rendering,Dell,,1837
927,928,"A notebook with the words ""To-do List"" written on the front cover",notebook,False,Text rendering,To-do List,,2057
928,929,"A notebook with the words ""Notes"" written on the front cover",notebook,False,Text rendering,Notes,,2057
929,930,"A notebook with the words ""Travel Journal"" written on the front cover",notebook,False,Text rendering,Travel Journal,,2057
930,931,"A menu at a restaurant that has the dish ""Chateaubriand"" listed",restaurant menu,False,Text rendering,Chateaubriand,,2058
931,932,"A contract with the words ""Lease Agreement"" written on it",contract,False,Text rendering,Lease Agreement,,2059
932,933,"A poster with the slogan ""Save the Whales""",poster,False,Text rendering,Save the Whales,,2054
933,934,"A book with the title ""War and Peace"" written on the cover",book,False,Text rendering,War and Peace,,1826
934,935,"A bottle of champagne with the label ""Moet & Chandon"" written on it",champagne bottle,False,Text rendering,Moet & Chandon,,2060
935,936,"A receipt from a clothing store that says ""Nike"" written on it",receipt,False,Text rendering,Nike,,2055
